GeneID	Lenght	#Reads	EC#	RPKM	Archaea	Eukaryota	Bacteria	Actinobacteria	Bacteroidetes	Proteobacteria	Gammaproteobacteria	Betaproteobacteria	Alphaproteobacteria	Firmicutes	Bacilli	Clostridia	Clostridiaceae	Eubacteriaceae	Lachnospiraceae	Oscillospiraceae	Ruminococcaceae
WP_031390220.1	1050	2	1.17.7.3	17.5951402223	8.79757011114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.79757011114	0.0
WP_040663532.1	282	2	0.0.0.0	65.5138199765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.5138199765	0.0
SCI81395.1	870	2	0.0.0.0	21.2355140614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6177570307	0.0	10.6177570307	0.0
WP_016223611.1	552	5	0.0.0.0	83.6725418179	0.0	0.0	0.0	0.0	66.9380334543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.7345083636	0.0
gi|479208076|ref|NC_021042.1|:c3158826-3157687	1140	1	3.5.1.25	8.10302510236	0.0	0.0	0.0	0.0	8.10302510236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_020888183.1	2295	2	0.0.0.0	8.05006415398	0.0	0.0	0.0	4.02503207699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.02503207699	0.0
WP_016295229.1	687	2	5.1.3.9	26.8921357109	0.0	0.0	0.0	0.0	13.4460678554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4460678554	0.0
WP_016321048.1	1191	2	0.0.0.0	15.5120883572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5120883572	0.0
WP_070089955.1	1812	2	3.6.5.n1	10.1958594003	5.09792970016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09792970016	0.0
WP_025642205.1	1326	2	1.6.5.11	13.9328033434	0.0	0.0	0.0	0.0	6.96640167171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.96640167171	0.0
WP_028519371.1	831	2	0.0.0.0	22.2321266346	0.0	0.0	0.0	0.0	0.0	0.0	11.1160633173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1160633173	0.0
WP_006855162.1	1044	2	1.3.1.108	17.6962617178	0.0	0.0	0.0	0.0	8.8481308589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8481308589	0.0
WP_016324351.1	942	2	4.1.99.22	19.6124174452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6124174452	0.0
WP_005363433.1	1254	2	5.3.1.14	14.7327729134	0.0	0.0	0.0	0.0	0.0	0.0	7.36638645669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36638645669	0.0
WP_027640518.1	1545	2	3.6.3.17	11.957862287	0.0	0.0	0.0	0.0	5.97893114349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.97893114349	0.0
WP_016322646.1	1059	2	0.0.0.0	17.4456064527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.72280322634	0.0	0.0	0.0	0.0	0.0	0.0	8.72280322634	0.0
SCI73744.1	1455	2	1.1.1.205	12.6975238717	6.34876193587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.34876193587	0.0
WP_027295010.1	1422	2	0.0.0.0	12.9921921472	0.0	0.0	0.0	0.0	6.49609607362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.49609607362	0.0
WP_006568205.1	1035	2	4.2.1.46	17.8501422545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.92507112724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.92507112724	0.0
WP_042566880.1	984	2	0.0.0.0	18.7753020664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38765103322	0.0	0.0	0.0	0.0	0.0	0.0	9.38765103322	0.0
WP_058992933.1	1011	66	1.2.1.12	603.038188627	45.6847112596	0.0	18.2738845038	0.0	18.2738845038	0.0	63.9585957634	9.13694225192	301.519094313	54.8216535115	0.0	0.0	0.0	82.2324802673	0.0	9.13694225192	0.0
WP_016216446.1	987	2	2.7.7.7	18.718234279	0.0	0.0	0.0	0.0	0.0	9.35911713951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.35911713951	0.0
WP_013380534.1	789	2	1.12.98.4	23.4155858471	11.7077929236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7077929236	0.0
WP_034535850.1	1248	2	5.4.2.12	14.8036035524	0.0	7.4018017762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4018017762	0.0
WP_065535619.1	3693	2	6.3.5.3	5.00267999821	2.5013399991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5013399991	0.0
WP_015939155.1	837	2	0.0.0.0	22.0727565512	0.0	0.0	0.0	11.0363782756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0363782756	0.0
WP_066865395.1	513	2	0.0.0.0	36.0134448994	0.0	0.0	0.0	0.0	0.0	0.0	18.0067224497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0067224497	0.0
WP_050979270.1	1824	2	1.12.1.3	10.128781378	0.0	0.0	0.0	0.0	5.06439068898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.06439068898	0.0
