#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_5	968722	523	N	N	1	*	*,126,126,126,5,231,*
contig_2	800267	506	N	N	1	*	*,1,2,100,100,*
contig_10	794134	497	N	N	1	*	*,10,*
contig_18	387216	451	N	N	1	*	*,-329,-329,18,*
scaffold_31	332917	402	N	N	1	*	*,-31,-402,-401,-401,??,212,-568,??,-568,-26,*
contig_44	195721	453	N	N	1	*	*,392,392,44,*
contig_4	169932	461	N	N	1	*	*,4,*
contig_80	167840	462	N	N	1	*	*,80,281,*
contig_53	139717	523	N	N	1	*	*,-117,53,*
contig_38	121626	490	N	N	1	*	*,-281,38,-273,*
contig_37	106763	487	N	N	1	*	*,-306,37,281,*
contig_260	85703	455	N	N	1	*	*,260,*
contig_289	75854	416	N	N	1	*	*,289,*
scaffold_96	70106	440	N	N	1	*	*,-96,424,424,425,??,426,*
contig_146	62951	537	N	N	1	*	*,236,146,245,*
contig_391	52066	397	N	N	1	*	*,391,281,*
contig_99	36558	430	N	N	1	*	*,99,*
contig_384	31796	475	N	N	1	*	*,-540,384,*
contig_345	17562	358	N	N	1	*	*,345,*
contig_232	9588	506	N	N	1	*	*,232,*
contig_573	9524	317	N	N	1	*	*,573,*
contig_543	9181	260	N	N	1	*	*,543,*
contig_572	9095	315	N	N	1	*	*,572,*
contig_246	9041	510	N	N	1	*	*,246,*
contig_545	9024	353	N	N	1	*	*,545,*
contig_580	8874	370	N	N	1	*	*,580,*
contig_585	8590	480	N	N	1	*	*,585,*
contig_98	8569	304	N	N	1	*	*,98,*
contig_234	8336	559	N	N	1	*	*,234,*
contig_590	8291	105	N	N	1	*	*,590,*
contig_267	8175	486	N	N	1	*	*,267,*
contig_125	8108	266	N	N	1	*	*,125,*
contig_568	7749	9	N	Y	1	*	568
contig_562	7586	253	N	N	1	*	*,562,*
contig_318	7526	501	N	N	1	*	*,318,*
contig_591	7466	84	N	N	1	*	*,591,*
contig_78	7104	501	N	N	1	*	*,78,*
contig_130	6667	313	N	N	1	*	*,130,*
contig_103	6648	271	N	N	1	*	*,103,*
contig_578	6571	542	N	N	1	*	*,578,*
contig_102	6353	98	N	N	1	*	*,102,*
contig_450	5992	544	N	N	1	*	*,450,*
contig_265	5731	228	N	N	1	*	*,265,*
contig_355	5706	508	N	N	1	*	*,355,*
contig_266	5600	209	N	N	1	*	*,266,*
contig_332	5035	476	N	N	1	*	*,332,*
contig_588	4876	156	N	N	1	*	*,588,*
contig_353	4756	500	N	N	1	*	*,353,*
contig_313	4752	506	N	N	1	*	*,313,*
contig_357	4627	507	N	N	1	*	*,357,*
contig_307	4624	504	N	N	1	*	*,307,*
contig_393	4559	268	N	N	1	*	*,393,*
contig_255	4391	533	N	N	1	*	*,255,*
contig_569	4245	178	N	N	1	*	*,569,*
contig_554	4087	424	N	N	1	*	*,554,*
contig_436	4017	492	N	N	1	*	*,436,*
contig_336	3929	532	N	N	1	*	*,336,*
contig_269	3917	535	N	N	1	*	*,269,*
contig_565	3782	553	N	N	1	*	*,565,*
contig_564	3762	139	N	Y	1	730	*,564,*
contig_235	3685	399	N	N	1	*	*,235,*
contig_445	3583	473	N	N	1	*	*,445,*
contig_439	3562	178	N	N	1	*	*,439,*
contig_335	3530	494	N	N	1	*	*,335,*
contig_576	3427	517	N	N	1	*	*,576,*
contig_442	3404	580	N	N	1	*	*,442,*
contig_583	3377	151	N	N	1	*	*,583,*
contig_330	3226	442	N	N	1	*	*,330,*
contig_566	3212	498	N	N	1	*	*,566,*
contig_415	3177	537	N	N	1	*	*,415,*
contig_349	3164	547	N	N	1	*	*,349,*
contig_570	3127	158	N	N	1	*	*,570,*
contig_95	3111	506	N	N	1	*	*,95,*
contig_574	3077	562	N	N	1	*	*,574,*
contig_567	2980	139	N	N	1	*	*,567,*
contig_263	2873	519	N	N	1	*	*,263,*
contig_571	2818	519	N	N	1	*	*,571,*
contig_249	2792	531	N	N	1	*	*,249,*
contig_577	2790	461	N	N	1	*	*,577,*
contig_94	2695	498	N	N	1	*	*,94,*
contig_199	2522	28	N	N	28	*	*,199,*
contig_382	2482	33	N	Y	1	746	*,382,*
contig_563	2422	187	N	N	1	*	*,563,*
contig_589	2364	87	N	N	1	*	*,589,*
